activity_id,date,name,type,distance_km,elevation_gain,moving_time_s
18481374058,2026-05-12,Evening HIIT,Workout,0.0,0,4616
18389867205,2026-05-05,Evening HIIT,Workout,0.0,0,4769
18369944939,2026-05-04,Lunch Run,Run,12.69,40.0,3560
18262928543,2026-04-26,Morning Walk,Walk,6.38,38.0,4236
18228219773,2026-04-23,Afternoon HIIT,Workout,0.0,0,7181
18133651436,2026-04-16,Afternoon HIIT,Workout,0.0,0,4485
18076016184,2026-04-12,3. bieg przełajowy Piaski,Run,15.63,94.0,4489
18038849123,2026-04-09,Lunch Walk,Walk,4.94,35.8,3342
18016369408,2026-04-07,Afternoon Walk,Walk,5.62,26.4,3888
18001559561,2026-04-06,Afternoon Walk,Walk,4.4,43.0,3007
17982840364,2026-04-05,Morning Run,Run,10.16,20.8,2794
17982632985,2026-04-05,Morning Run,Run,2.58,31.8,718
17867617949,2026-03-26,Afternoon HIIT,Workout,0.0,0,4787
17815303529,2026-03-22,Lunch Run,Run,14.27,27.2,3903
17729143333,2026-03-15,Morning Run,Run,15.02,23.2,3994
17705920888,2026-03-13,Morning Run,Run,15.01,22.6,4092
17635178611,2026-03-07,Lunch Run,Run,15.02,18.4,4291
17531475554,2026-02-26,Afternoon Run,Run,15.03,22.0,4109
17505555155,2026-02-24,Afternoon Run,Run,15.05,24.0,4152
17393473549,2026-02-14,posesyjny powrót,Run,10.07,18.6,2707
17149514647,2026-01-23,Lunch Run,Run,15.04,28.2,4120
17082027521,2026-01-17,recovery run po chorobie,Run,10.09,19.4,2776
16913114918,2026-01-02,Afternoon Run,Run,15.01,28.2,4156
16785943637,2025-12-19,Afternoon Run,Run,10.0,18.2,2753
16746955676,2025-12-15,Morning Run,Run,10.12,16.4,2779
16686427615,2025-12-08,Afternoon Run,Run,15.02,21.0,4245
16658128207,2025-12-05,Afternoon Run,Run,6.41,99.8,1904
16608890897,2025-11-30,Lunch Run,Run,15.03,23.2,4194
16591302946,2025-11-28,Afternoon Run🤒,Run,10.14,19.2,2861
16542752634,2025-11-23,czasówka,Run,10.03,19.0,2698
16525411786,2025-11-21,oczywiscie padł mi zegarek kilometr przed końcem xd,Run,19.41,32.0,6048
16498969895,2025-11-16,Afternoon Run,Run,15.09,25.0,4270
16498970181,2025-11-14,Afternoon Run,Run,15.12,20.2,4433
16498970358,2025-11-08,Lunch Run,Run,15.01,50.6,4671
16498970363,2025-11-01,Lunch Run,Run,15.16,25.6,4527
16498970802,2025-10-24,Evening Run,Run,10.12,17.2,2867
16498970940,2025-10-21,Morning Run,Run,10.19,53.2,3363
12279606034,2024-08-29,run,Run,5.04,5.0,1401
12164588207,2024-08-16,pod górkę run,Run,5.65,26.9,1593
11797182604,2024-07-03,Lunch Run,Run,10.04,12.3,2836
11780156999,2024-07-01,Morning Run,Run,3.57,3.5,951
11764398431,2024-06-29,Morning Run,Run,10.05,17.6,3067
11686730064,2024-06-18,Morning Run,Run,5.84,13.0,1705
11636085483,2024-06-12,comeback,Run,10.03,12.1,2971
11492396525,2024-05-25,rossman,Run,10.16,11.9,3125
11188892229,2024-04-15,Evening Run,Run,12.38,28.8,3625
